ProductID,ProductName,Category,UnitPrice,InStock
1,Social Imagine,Home,109.67,92
2,Six Effort,Clothing,54.44,161
3,Full While,Electronics,875.25,18
4,Must Member,Books,245.7,197
5,Large Feeling,Home,317.73,141
6,Finally Television,Home,887.8,156
7,Population Draw,Electronics,754.6,126
8,Style Commercial,Home,182.31,108
9,Model Imagine,Home,15.4,91
10,Standard Power,Electronics,272.81,165
11,Church List,Books,596.86,70
12,Response Relate,Home,115.66,143
13,Political Side,Clothing,266.62,130
14,Air Eight,Footwear,867.21,76
15,Result Idea,Clothing,138.93,147
16,Kind Find,Footwear,576.36,79
17,Message Drug,Books,500.6,141
18,Girl Represent,Clothing,653.82,40
19,Ago Hospital,Electronics,407.9,197
20,Than Language,Footwear,386.84,24
21,Some Evidence,Clothing,213.78,50
22,Key Simple,Clothing,317.3,20
23,Green Computer,Home,717.3,195
24,Her I,Home,21.99,156
25,Easy Last,Clothing,125.25,65
26,Door Hundred,Clothing,798.23,17
27,Find Dark,Electronics,475.4,162
28,Professor Man,Electronics,635.24,64
29,Help Future,Clothing,124.63,87
30,No Project,Footwear,510.79,91
31,She Wear,Electronics,232.42,59
32,Movement Scene,Footwear,250.87,199
33,House Summer,Books,299.85,20
34,Soldier Evening,Home,567.38,115
35,Serious Result,Home,568.86,27
36,Total Open,Books,517.17,15
37,Task Participant,Electronics,688.96,74
38,Full Pass,Electronics,21.8,148
39,Anything Order,Electronics,981.24,42
40,Pm Option,Electronics,480.02,155
41,First Scene,Books,265.02,76
42,Part Very,Home,477.82,45
43,Baby Want,Clothing,139.56,32
44,Agreement Serve,Electronics,159.13,172
45,Discussion Physical,Home,192.74,26
46,Radio Character,Home,194.95,165
47,Music Billion,Footwear,733.45,121
48,Community Pretty,Home,552.14,41
49,Wonder Open,Home,847.86,197
50,Important Party,Footwear,764.05,56
51,Upon Man,Home,533.4,114
52,After Sell,Home,336.3,34
53,Contain Design,Books,55.32,15
54,Reduce Day,Clothing,98.08,200
55,Enough Again,Clothing,491.74,146
56,Use Important,Books,406.42,139
57,Card Recognize,Books,694.27,158
58,Campaign Environmental,Books,881.92,119
59,Help Once,Electronics,237.43,40
60,Budget Change,Electronics,553.29,199
61,Shoulder Recent,Clothing,498.06,134
62,Sort Measure,Footwear,287.15,53
63,She Garden,Electronics,377.24,124
64,Bed Degree,Home,996.71,31
65,Something Politics,Home,284.54,175
66,Memory Level,Books,566.57,111
67,Claim Treat,Books,569.04,200
68,Enter Reveal,Footwear,971.14,102
69,Mission Effort,Electronics,505.81,45
70,Capital Paper,Footwear,959.3,94
71,Small Own,Home,614.12,54
72,Stage Lay,Footwear,944.5,110
73,Nor Camera,Books,21.13,129
74,Blood Campaign,Clothing,860.25,153
75,Such Writer,Home,784.11,26
76,Most Camera,Home,402.17,179
77,Hand Enjoy,Clothing,776.57,190
78,Prepare Go,Footwear,425.23,132
79,Threat Man,Clothing,254.77,42
80,Age Property,Footwear,730.4,156
81,Season Strategy,Books,862.07,22
82,Wonder Major,Footwear,396.36,116
83,Door Page,Books,94.12,134
84,Way Finish,Footwear,394.56,166
85,Worker Ever,Electronics,821.7,53
86,Else Chair,Footwear,964.45,152
87,Reach Box,Clothing,194.43,79
88,Between Where,Home,992.33,54
89,Impact Carry,Footwear,932.04,39
90,Green Too,Electronics,157.88,142
91,Little Authority,Books,891.69,183
92,Laugh Important,Books,846.83,132
93,Why Report,Electronics,991.74,51
94,Why Begin,Footwear,365.49,27
95,Student Resource,Books,112.32,165
96,His Quite,Books,934.73,117
97,Its Staff,Electronics,538.04,132
98,Environmental Care,Clothing,886.47,151
99,Question Stand,Clothing,765.63,59
100,Able North,Home,961.59,165
